country_id,country_name,iso3_code,region,income_group,year,crop,yield_kg_ha,production_tonnes,area_harvested_ha,fertilizer_use_kg_ha,irrigation_pct,avg_temp_mean_c,avg_temp_max_c,avg_temp_min_c,total_precip_mm,total_rain_mm,total_et0_mm,gdd_base10,extreme_hot_days_gt35c,freeze_days_lt0c,precip_variability_cv2
1,China,CHN,East Asia,Upper middle income,2015,Maize,6060.13,20981218.81,3462171.0,73.41,27.1,9.363561643835626,15.106301369863022,4.051506849315066,487.89999999999986,409.40000000000003,1162.740000000001,1380.8999999999996,0.0,137.0,7.426528885690825
1,China,CHN,East Asia,Upper middle income,2015,Rice,7985.39,,4480772.0,136.83,24.2,9.363561643835626,15.106301369863022,4.051506849315066,487.89999999999986,409.40000000000003,1162.740000000001,1380.8999999999996,0.0,137.0,7.426528885690825
1,China,CHN,East Asia,Upper middle income,2015,Soybeans,4823.83,23410165.27,4853027.0,173.71,39.2,9.363561643835626,15.106301369863022,4.051506849315066,487.89999999999986,409.40000000000003,1162.740000000001,1380.8999999999996,0.0,137.0,7.426528885690825
1,China,CHN,East Asia,Upper middle income,2015,Wheat,7247.14,29467378.48,4066072.0,142.03,19.6,9.363561643835626,15.106301369863022,4.051506849315066,487.89999999999986,409.40000000000003,1162.740000000001,1380.8999999999996,0.0,137.0,7.426528885690825
1,China,CHN,East Asia,Upper middle income,2016,Maize,8737.91,16251039.17,1859832.0,136.19,36.4,9.532240437158478,15.343715846994531,4.048633879781414,412.7999999999997,368.19999999999993,1184.1200000000003,1506.7999999999997,0.0,132.0,6.212271272760061
1,China,CHN,East Asia,Upper middle income,2016,Rice,6816.44,14450840.52,2119997.0,74.69,30.4,9.532240437158478,15.343715846994531,4.048633879781414,412.7999999999997,368.19999999999993,1184.1200000000003,1506.7999999999997,0.0,132.0,6.212271272760061
1,China,CHN,East Asia,Upper middle income,2016,Soybeans,4350.82,15970431.52,3670671.0,140.9,36.1,9.532240437158478,15.343715846994531,4.048633879781414,412.7999999999997,368.19999999999993,1184.1200000000003,1506.7999999999997,0.0,132.0,6.212271272760061
1,China,CHN,East Asia,Upper middle income,2016,Wheat,5278.01,5492738.47,1040684.0,124.81,15.8,9.532240437158478,15.343715846994531,4.048633879781414,412.7999999999997,368.19999999999993,1184.1200000000003,1506.7999999999997,0.0,132.0,6.212271272760061
1,China,CHN,East Asia,Upper middle income,2017,Maize,8063.89,34381194.79,4263599.0,82.75,25.1,8.30191780821917,14.03863013698631,3.0441095890410943,555.6,495.4000000000001,1071.590000000001,1198.7999999999997,0.0,153.0,6.740203029977904
1,China,CHN,East Asia,Upper middle income,2017,Rice,7168.19,21208250.38,2958662.0,113.65,30.3,8.30191780821917,14.03863013698631,3.0441095890410943,555.6,495.4000000000001,1071.590000000001,1198.7999999999997,0.0,153.0,6.740203029977904
